Name,Per day,Email,Phone,Notes,Socials
Extra Group A (FBI SWAT Team),$150.00,casting@extras.com,+1-505-xxx-xxxx,"15 people, tactical gear, Arizona house raid scene",-
Extra Group B (Border Patrol),$150.00,casting@extras.com,+1-505-xxx-xxxx,"8-10 people, uniforms provided, border crossing scenes",-
Extra Group C (Juarez Police),$125.00,casting@extras.com,+1-505-xxx-xxxx,"12 people, Mexican police uniforms, tunnel/bridge scenes",-
Extra Group D (Cartel Members),$150.00,casting@extras.com,+1-505-xxx-xxxx,"20+ people, various scenes in Mexico",-
Extra Group E (Civilians - Border),$100.00,casting@extras.com,+1-505-xxx-xxxx,"30+ people, cars in traffic, border crossing sequence",-
Extra Group F (Civilians - Juarez),$100.00,casting@extras.com,+1-505-xxx-xxxx,"40+ people, street scenes, restaurant, Ciudad Juarez",-
Extra Group G (Restaurant Diners),$100.00,casting@extras.com,+1-505-xxx-xxxx,"15-20 people, upscale restaurant scene",
Extra Group H (Office Workers),$100.00,casting@extras.com,+1-505-xxx-xxxx,"8-10 people, FBI office scenes",
Featured Extra 1 (Dead Bodies),$200.00,featured@casting.com,+1-505-xxx-xxxx,"Special makeup, opening scene house of horrors",
Featured Extra 2 (Hanging Victims),$250.00,featured@casting.com,+1-505-xxx-xxxx,"Special rigging, bridge scene",
Featured Extra 3 (Tunnel Workers),$175.00,featured@casting.com,+1-505-xxx-xxxx,"4-5 people, confined space work",
