Scene,Scene Description,INT/EXT,Time of the day,Shooting location,Scene cast,Extras,Tags,Setups,Pages count,Status,Day in movie,Shooting date,Shooting hours
001,"FBI raids Sonora house, discovers bodies in walls",INT / EXT,Dawn or Dusk,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv)",Extra Group A (FBI SWAT Team) (Extra%20Group%20A%20(FBI%20SWAT%20Team)%2028ea372328a48181954ac1d2d7e7e2fb.csv),"Action, Stunts, VFX",15,3/8,In progress,1,"October 15, 2025",06:00 - 18:00
002,Kate meets Matt and Alejandro,INT,Day,FBI Field Office Phoenix (FBI%20Field%20Office%20Phoenix%2028ea372328a481b39080e0d71d21029c.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Dave Jennings (Dave%20Jennings%2028ea372328a48107b023e073ffdafe41.csv)",,Dialogue-heavy,5,2/8,Completed,1,"October 17, 2025",08:00 - 14:00
003,Convoy drives to Juarez,INT / EXT,Dawn or Dusk,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv)",Extra Group B (Border Patrol) (Extra%20Group%20B%20(Border%20Patrol)%2028ea372328a4811f9ebcec17829f9bd1.csv),"Action, Drone shot",8,2/8,Not started,2,"October 18, 2025",06:00 - 14:00
004,Border crossing chaos,INT / EXT,Day,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),"Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv)","Extra Group E (Civilians - Border) (Extra%20Group%20E%20(Civilians%20-%20Border)%2028ea372328a48111b537fb394eda61e8.csv), Extra Group C (Juarez Police) (Extra%20Group%20C%20(Juarez%20Police)%2028ea372328a4819b800cc1cfeb44d832.csv)","Action, Crowd, Weather dependent",18,4/8,Not started,2,"October 18, 2025 → October 19, 2025",Multiple days
005,Kate reports to superiors,INT,Day,FBI Field Office Phoenix (FBI%20Field%20Office%20Phoenix%2028ea372328a481b39080e0d71d21029c.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Dave Jennings (Dave%20Jennings%2028ea372328a48107b023e073ffdafe41.csv)",Extra Group H (Office Workers) (Extra%20Group%20H%20(Office%20Workers)%2028ea372328a48138988fc00b9dca16a4.csv),Dialogue-heavy,4,2/8,Not started,3,"October 21, 2025",08:00 - 13:00
006,"Kate at home, processing events",INT,Night,"Kate's Apartment (Kate's%20Apartment%2028ea372328a48170a3b3f68902cc4480.csv), Bar/Restaurant (Ted scene) (Bar%20Restaurant%20(Ted%20scene)%2028ea372328a48161b123eaa51dd2b8f8.csv)","Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Ted (Ted%2028ea372328a4817da8d0e8a0cb9f7acd.csv)",,"Dialogue-heavy, Intimate scene",5,2/8,Not started,3,"October 21, 2025",18:00 - 23:00
007,Planning next operation,INT,Day,,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Steve Forsing (Steve%20Forsing%2028ea372328a481f68961e0189e3c5255.csv)",,Dialogue-heavy,5,3/8,Not started,4,"October 22, 2025",08:00 - 14:00
014,Alejandro infiltrates compound,EXT,Night,,Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv),,"Action, Night exterior, Stunts",6,2/8,Not started,8,"November 1, 2025",19:00 - 02:00
015,Alejandro confronts Fausto at dinner,INT,Night,,"Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Fausto Alarcon (Fausto%20Alarcon%2028ea372328a4812698bac00a08c73ed3.csv)",Extra Group G (Restaurant Diners) (Extra%20Group%20G%20(Restaurant%20Diners)%2028ea372328a481cdb132f577c928425b.csv),"Action, Dialogue-heavy, Intimate scene",10,5/8,Not started,8,"November 2, 2025",14:00 - 02:00
006b,Bar scene with Ted,INT,Night,Bar/Restaurant (Ted scene) (Bar%20Restaurant%20(Ted%20scene)%2028ea372328a48161b123eaa51dd2b8f8.csv),"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Ted (Ted%2028ea372328a4817da8d0e8a0cb9f7acd.csv)",Extra Group G (Restaurant Diners) (Extra%20Group%20G%20(Restaurant%20Diners)%2028ea372328a481cdb132f577c928425b.csv),Dialogue-heavy,3,1/8,Not started,3,"October 21, 2025",20:00 - 23:00
