Scene,Day in movie,Extras,INT/EXT,Pages count,Parent item,Scene Description,Scene cast,Setups,Shooting date,Shooting hours,Shooting location,Status,Sub-item,Tags,Time of the day
001,1,Extra Group A (FBI SWAT Team) (Extra%20Group%20A%20(FBI%20SWAT%20Team)%2028ea372328a48181954ac1d2d7e7e2fb.csv),INT / EXT,3/8,,"FBI raids Sonora house, discovers bodies in walls","Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv)",15,"October 15, 2025",06:00 - 18:00,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),In progress,"Untitled (https://www.notion.so/270c5d4455de809cbf68f5c03fde5f8a?pvs=21), 001a (001a%2028ea372328a4814b9825c3f108827c53.csv), 001b (001b%2028ea372328a481f0b2d3c1cb449eb8da.csv), 001c (001c%2028ea372328a48111b6e4c2d08c1f7fbe.csv), 001d (001d%2028ea372328a481a2ae6cea8110b7ea75.csv)","Action, Stunts, VFX",Dawn or Dusk
003,2,Extra Group B (Border Patrol) (Extra%20Group%20B%20(Border%20Patrol)%2028ea372328a4811f9ebcec17829f9bd1.csv),INT / EXT,2/8,,Convoy drives to Juarez,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv)",8,"October 18, 2025",06:00 - 14:00,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),Not started,"003a (003a%2028ea372328a481d6a48fcd4130649db6.csv), 003b (003b%2028ea372328a48170b582ecb8cff4545a.csv), 003c (003c%2028ea372328a4814883c3ccd7bc18f142.csv)","Action, Drone shot",Dawn or Dusk
001a,1,Extra Group A (FBI SWAT Team) (Extra%20Group%20A%20(FBI%20SWAT%20Team)%2028ea372328a48181954ac1d2d7e7e2fb.csv),EXT,1/8,001 (001%2028ea372328a481a9b3c7e3f991007dd1.csv),Exterior - SWAT team approaches house,"Reggie Wayne (Reggie%20Wayne%2028ea372328a481379820dc5232ffc8f6.csv), Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv)",3,"October 15, 2025",06:00 - 09:00,Chandler House (Arizona) (Chandler%20House%20(Arizona)%2028ea372328a4819b8567c5b408afa0b4.csv),In progress,,"Action, Stunts",Dawn or Dusk
015,8,Extra Group G (Restaurant Diners) (Extra%20Group%20G%20(Restaurant%20Diners)%2028ea372328a481cdb132f577c928425b.csv),INT,5/8,,Alejandro confronts Fausto at dinner,"Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Fausto Alarcon (Fausto%20Alarcon%2028ea372328a4812698bac00a08c73ed3.csv)",10,"November 2, 2025",14:00 - 02:00,,Not started,,"Action, Dialogue-heavy, Intimate scene",Night
004,2,"Extra Group E (Civilians - Border) (Extra%20Group%20E%20(Civilians%20-%20Border)%2028ea372328a48111b537fb394eda61e8.csv), Extra Group C (Juarez Police) (Extra%20Group%20C%20(Juarez%20Police)%2028ea372328a4819b800cc1cfeb44d832.csv)",INT / EXT,4/8,,Border crossing chaos,"Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv)",18,"October 18, 2025 → October 19, 2025",Multiple days,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),Not started,"004a (004a%2028ea372328a481208675e459663a7d96.csv), 004b (004b%2028ea372328a481a2912def76151a3e35.csv), 004c (004c%2028ea372328a481e19026cb66848802a1.csv), 004d (004d%2028ea372328a481eda8ade2f728f2202b.csv), 004e (004e%2028ea372328a48139b82bdadffa83b715.csv)","Action, Crowd, Weather dependent",Day
003a,2,,EXT,0/8,003 (003%2028ea372328a481ec9decf6f93e808711.csv),Aerial shots of convoy,,2,"October 18, 2025",06:00 - 08:00,Highway to El Paso (Highway%20to%20El%20Paso%2028ea372328a481f4aadddb027240573c.csv),Not started,,Drone shot,Dawn or Dusk
006a,3,,INT,1/8,006 (006%2028ea372328a481458f53e140222b252b.csv),"Kate arrives home, exhausted",Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),2,"October 21, 2025",18:00 - 20:00,Kate's Apartment (Kate's%20Apartment%2028ea372328a48170a3b3f68902cc4480.csv),Not started,,Intimate scene,Night
004e,2,,INT / EXT,1/8,004 (004%2028ea372328a481a58116cb037a02a4ea.csv),Escape through checkpoint,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv), Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv)",2,"October 19, 2025",17:00 - 19:00,,Not started,,"Action, Stunts",Day
006b,3,Extra Group G (Restaurant Diners) (Extra%20Group%20G%20(Restaurant%20Diners)%2028ea372328a481cdb132f577c928425b.csv),INT,1/8,006 (006%2028ea372328a481458f53e140222b252b.csv),Bar scene with Ted,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Ted (Ted%2028ea372328a4817da8d0e8a0cb9f7acd.csv)",3,"October 21, 2025",20:00 - 23:00,Bar/Restaurant (Ted scene) (Bar%20Restaurant%20(Ted%20scene)%2028ea372328a48161b123eaa51dd2b8f8.csv),Not started,,Dialogue-heavy,Night
005,3,Extra Group H (Office Workers) (Extra%20Group%20H%20(Office%20Workers)%2028ea372328a48138988fc00b9dca16a4.csv),INT,2/8,,Kate reports to superiors,"Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv), Dave Jennings (Dave%20Jennings%2028ea372328a48107b023e073ffdafe41.csv)",4,"October 21, 2025",08:00 - 13:00,FBI Field Office Phoenix (FBI%20Field%20Office%20Phoenix%2028ea372328a481b39080e0d71d21029c.csv),Not started,,Dialogue-heavy,Day
