Item Name,Character,Scene,Status,Source,Cost,Responsible Person,Fitting Date,Notes,Safety Notes
FBI Tactical Vest,Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),,Ready,Costume Dept,$450.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 15, 2025","Navy blue, authentic FBI markings","Kevlar inserts, heavy"
FBI Windbreaker,Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),,Ready,Costume Dept,$120.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 15, 2025","""FBI"" yellow letters on back",-
Tactical Boots (Women's),Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),,Ready,Costume Dept,$180.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 15, 2025","Black, broken in",Steel toe
Casual Jeans + T-shirt,Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),,Ready,Actor's Own,$0.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 15, 2025","Relaxed, off-duty look",-
Black Tactical Outfit,Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv),,Cleaning,Costume Dept,$800.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 18, 2025","All black, menacing look","Night shooting, dark colors"
Dress Shirt + Slacks,Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv),,Rented,Rental House,$250.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 18, 2025",Refined but understated,-
Khaki Pants + Polo,Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv),,Ready,Purchase,$180.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 16, 2025","Casual CIA look, flip-flops",-
Tactical Gear (Full Set),Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv),,Ready,Costume Dept,$650.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 16, 2025",Beige/tan colors,Body armor included
Delta Force Uniforms,Steve Forsing (Steve%20Forsing%2028ea372328a481f68961e0189e3c5255.csv),,To buy,Costume Dept,"$3,500.00",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 20, 2025","8-10 uniforms, authentic",Check weight distribution
Mexican Police Uniforms,Silvio (Silvio%2028ea372328a481bbb9d9f84b419d3b07.csv),,In progress,Rental House,"$1,200.00",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 22, 2025",5-6 uniforms needed,
Cartel Casual Wear,Fausto Alarcon (Fausto%20Alarcon%2028ea372328a4812698bac00a08c73ed3.csv),,Ready,Costume Dept,$400.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 25, 2025",Upscale but not flashy,Blood rig underneath
Suits (Various),,,To buy,Costume Dept,$800.00,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 17, 2025",3-4 different suits for FBI Officials,
Border Patrol Uniforms,,,Ready,Costume Dept,"$1,500.00",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 18, 2025",Extras Group B. 10 uniforms + accessories,Ensure proper badges
Civilian Clothes (Juarez),,,In progress,Costume Dept,"$2,000.00",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"October 19, 2025","Extras Group F. 40+ outfits, authentic Mexican style",Heat considerations
