Item Name,Character,Cost,Fitting Date,Notes,Responsible Person,Safety Notes,Scene,Source,Status
Mexican Police Uniforms,Silvio (Silvio%2028ea372328a481bbb9d9f84b419d3b07.csv),"$1,200.00","October 22, 2025",5-6 uniforms needed,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),,,Rental House,In progress
Civilian Clothes (Juarez),,"$2,000.00","October 19, 2025","Extras Group F. 40+ outfits, authentic Mexican style",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),Heat considerations,,Costume Dept,In progress
Tactical Gear (Full Set),Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv),$650.00,"October 16, 2025",Beige/tan colors,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),Body armor included,,Costume Dept,Ready
Casual Jeans + T-shirt,Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),$0.00,"October 15, 2025","Relaxed, off-duty look",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),-,,Actor's Own,Ready
Delta Force Uniforms,Steve Forsing (Steve%20Forsing%2028ea372328a481f68961e0189e3c5255.csv),"$3,500.00","October 20, 2025","8-10 uniforms, authentic",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),Check weight distribution,,Costume Dept,To buy
Tactical Boots (Women's),Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),$180.00,"October 15, 2025","Black, broken in",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),Steel toe,,Costume Dept,Ready
Black Tactical Outfit,Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv),$800.00,"October 18, 2025","All black, menacing look",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"Night shooting, dark colors",,Costume Dept,Cleaning
Border Patrol Uniforms,,"$1,500.00","October 18, 2025",Extras Group B. 10 uniforms + accessories,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),Ensure proper badges,,Costume Dept,Ready
Dress Shirt + Slacks,Alejandro Gillick (Alejandro%20Gillick%2028ea372328a48187b2a6e5ced6b257a8.csv),$250.00,"October 18, 2025",Refined but understated,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),-,,Rental House,Rented
Suits (Various),,$800.00,"October 17, 2025",3-4 different suits for FBI Officials,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),,,Costume Dept,To buy
FBI Tactical Vest,Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),$450.00,"October 15, 2025","Navy blue, authentic FBI markings",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),"Kevlar inserts, heavy",,Costume Dept,Ready
Cartel Casual Wear,Fausto Alarcon (Fausto%20Alarcon%2028ea372328a4812698bac00a08c73ed3.csv),$400.00,"October 25, 2025",Upscale but not flashy,Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),Blood rig underneath,,Costume Dept,Ready
Khaki Pants + Polo,Matt Graver (CIA) (Matt%20Graver%20(CIA)%2028ea372328a481b88011d8624baec602.csv),$180.00,"October 16, 2025","Casual CIA look, flip-flops",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),-,,Purchase,Ready
FBI Windbreaker,Kate Macer(FBI Agent) (Kate%20Macer(FBI%20Agent)%2028ea372328a481a08c08d74a418b35c1.csv),$120.00,"October 15, 2025","""FBI"" yellow letters on back",Kate Hawley (Kate%20Hawley%2028ea372328a481bd9c6cf4da9569111f.csv),-,,Costume Dept,Ready
